country,shop_id,item_id
sg,452270498,8165066543
sg,452270498,8265066387
sg,452270498,11610250997
sg,452270498,8765066396
sg,452270498,11110251342
sg,452270498,11810250939
sg,452270498,22740812695
sg,452270498,25680982723
sg,452270498,22761284805
sg,452270498,7391341372
sg,452270498,28762843731
sg,452270498,11510250960
sg,452270498,9867043168
sg,452270498,18473935173
sg,452270498,8465066712
sg,452270498,4591343486
sg,452270498,19731396602
sg,452270498,9865048973
sg,452270498,4091363017
sg,452270498,9265049054
sg,452270498,28604376278
sg,452270498,2966186989
sg,400086723,12623611865
sg,400086723,23874992578
sg,400086723,26585264484
sg,400086723,10824286796
sg,400086723,11056732614
sg,400086723,11554874573
sg,400086723,10054886486
sg,400086723,24664204329
sg,400086723,9479901021
sg,400086723,11767448099
sg,400086723,9994894526
sg,400086723,11756579773
sg,400086723,22780715367
sg,400086723,13423325610
sg,400086723,12023348332
sg,400086723,11420546714
sg,400086723,12623340649
sg,400086723,12920343850
sg,400086723,8279389778
sg,400086723,11419619926
sg,400086723,3083614261
sg,400086723,11957077213
sg,400086723,23180714172
sg,400086723,24234935733
sg,400086723,14993104063
sg,400086723,13142413203
sg,400086723,43902527079
sg,400086723,21482281274
sg,400086723,13811702164
sg,400086723,13223593731
sg,400086723,27208266082
sg,400086723,25795349676
sg,400086723,11749911765
sg,400086723,49307293630
sg,400086723,10756585053
sg,400086723,6396678247
sg,400086723,11424286217
sg,400086723,29814197890
sg,400086723,10219160866
sg,400086723,8980140461
sg,400086723,20282292395
sg,400086723,43806708649
sg,400086723,11356579938
sg,400086723,11019621931
sg,400086723,10023959085
sg,400086723,11724253588
sg,400086723,19893255944
sg,400086723,6796572393
sg,400086723,21282281336
sg,400086723,16974080087
sg,400086723,18335814334
sg,400086723,28334461259
sg,400086723,9096258439
sg,400086723,17782542850
sg,400086723,11623774444
sg,400086723,13523319912
sg,400086723,9387645531
sg,400086723,12023616296
sg,400086723,16498900704
sg,400086723,12711726515
sg,400086723,21082290880
sg,400086723,18393268015
sg,400086723,12923321367
sg,400086723,13375005748
sg,400086723,13520321329
sg,400086723,8180129928
sg,400086723,56210556068
sg,400086723,10967429229
sg,400086723,10567430506
sg,400086723,11456578054
sg,400086723,11019482560
sg,400086723,11619160876
sg,400086723,11756581424
sg,400086723,26708266084
sg,400086723,9380146954
sg,400086723,7294864185
sg,400086723,13811689724
sg,400086723,6396861287
sg,400086723,26608266098
sg,400086723,13123340232
sg,400086723,7494970709
sg,400086723,4595027444
sg,400086723,24710644992
sg,400086723,8580147213
sg,400086723,13323328386
sg,400086723,26026032742
sg,400086723,9285642293
sg,400086723,13324225916
sg,400086723,12342417047
sg,400086723,14114465102
sg,400086723,11924286874
sg,400086723,5395026919
sg,400086723,11719621089
sg,400086723,8387653773
sg,400086723,8596260857
sg,400086723,6794970432
sg,400086723,13623590922
sg,400086723,14357194245
sg,400086723,44102517360
sg,400086723,13111727120
sg,400086723,43473527730
sg,400086723,8499483600
sg,400086723,13623322562
sg,400086723,10056595297
sg,400086723,10156587575
sg,400086723,18482308118
sg,400086723,4795043619
sg,400086723,8887657187
sg,400086723,13675005820
sg,400086723,9979891884
sg,400086723,9480461286
sg,400086723,20682291890
sg,400086723,10667431517
sg,400086723,11937887886
sg,400086723,10119164360
sg,400086723,12511722783
sg,400086723,10256579981
sg,400086723,51607454641
sg,400086723,21310407664
sg,400086723,13311712951
sg,400086723,12042414955
sg,400086723,10456737178
sg,400086723,44202527073
sg,400086723,28134461126
sg,400086723,8879408516
sg,400086723,11456731896
sg,400086723,41352513035
sg,400086723,12323334864
sg,400086723,7996671278
sg,400086723,12023619576
sg,400086723,20482282371
sg,400086723,56163600648
sg,400086723,26814201132
sg,400086723,3895091383
sg,400086723,12923345045
sg,400086723,27014201072
sg,400086723,21482281380
sg,400086723,46110507669
sg,400086723,43806711213
sg,400086723,25741333771
sg,400086723,10756734605
sg,400086723,11267429241
sg,400086723,13142413622
sg,400086723,11623781147
sg,400086723,6895114991
sg,400086723,13368738620
sg,400086723,44079681393
sg,400086723,7395042948
sg,400086723,28817959420
sg,400086723,12442409332
sg,400086723,46857826296
sg,400086723,13823301435
sg,400086723,7795017741
sg,400086723,13220323041
sg,400086723,12123615209
sg,400086723,24990502626
sg,400086723,12923322084
sg,400086723,21382290909
sg,400086723,11554883381
sg,400086723,10119481478
sg,400086723,12223322088
sg,400086723,13823590654
sg,400086723,12711722108
sg,400086723,11423034363
sg,400086723,3076524529
sg,400086723,13023612903
sg,400086723,11856568250
sg,400086723,10956586743
sg,400086723,12423319285
sg,400086723,13923301719
sg,400086723,9486828919
sg,400086723,12720321983
sg,400086723,10923181903
sg,400086723,13823325971
sg,400086723,24517620996
sg,400086723,13711705621
sg,400086723,19093261713
sg,400086723,27323592775
sg,400086723,19248445950
sg,400086723,23080714034
sg,400086723,10949907574
sg,1180556133,44304456994
sg,1180556133,41402426230
sg,1180556133,42452426381
sg,1180556133,27486998011
sg,1180556133,40054437242
sg,1180556133,44363065875
sg,1180556133,43752418390
sg,1180556133,28689907650
sg,1180556133,41054457016
sg,1180556133,41113081206
sg,1180556133,42204461595
sg,1180556133,43004411671
sg,1180556133,28637563746
sg,1180556133,40952416519
sg,1180556133,40804426422
sg,1180556133,41854411938
sg,1180556133,40463728758
sg,1180556133,43952412278
sg,1180556133,41304416438
sg,1180556133,43263071400
sg,1180556133,42863062685
sg,1180556133,40054496888
sg,1180556133,40552423149
sg,1180556133,40504467015
sg,935384620,29078161843
sg,935384620,49652251781
sg,935384620,47907639610
sg,935384620,49552255702
sg,935384620,41975319454
sg,935384620,51102222031
sg,935384620,26792469565
sg,935384620,22386551212
sg,935384620,47707641898
sg,935384620,27702152940
sg,935384620,43023462074
sg,935384620,29093018102
sg,935384620,56652226886
sg,935384620,43275324021
sg,935384620,43821610733
sg,935384620,41968354539
sg,935384620,29260159480
sg,935384620,26640452831
sg,935384620,29755192578
sg,935384620,23418465749
sg,935384620,47650854652
sg,935384620,25278072183
sg,935384620,43621578965
sg,935384620,47813105950
sg,935384620,56550095722
sg,935384620,41362276811
sg,935384620,29600536251
sg,935384620,46600112084
sg,935384620,41922195810
sg,935384620,42276020534
sg,935384620,27231229042
sg,935384620,53907655393
sg,935384620,20884048205
sg,935384620,53562656101
sg,935384620,29692708780
sg,935384620,57063168133
sg,935384620,26844756276
sg,935384620,53963606354
sg,935384620,51659910125
sg,935384620,47500589555
sg,935384620,56310188146
sg,935384620,44176823542
sg,935384620,46907639674
sg,935384620,43923457704
sg,935384620,24633116012
sg,935384620,40971604574
sg,935384620,29154402921
sg,935384620,26126926461
sg,935384620,25264815753
sg,935384620,29559228560
sg,935384620,24414810386
sg,935384620,46156744892
sg,935384620,18783748785
sg,935384620,26592406753
sg,935384620,40471577184
sg,935384620,40572228030
sg,935384620,27659888892
sg,935384620,27514954469
sg,935384620,25081765037
sg,935384620,52900527401
sg,935384620,27709742597
sg,935384620,29500593267
sg,935384620,40672265735
sg,935384620,40921595140
sg,935384620,27450525658
sg,935384620,50102142170
sg,935384620,27334868268
sg,935384620,24830895904
sg,935384620,25088075056
sg,935384620,24139257487
sg,935384620,40131777454
sg,935384620,44022217823
sg,935384620,26892701304
sg,935384620,40760858893
sg,162285147,6753151012
sg,162285147,43123323517
sg,162285147,19950545802
sg,162285147,29744502178
sg,162285147,15267992762
sg,162285147,56358007544
